# Asset Database
# guid|type|sourcePath|ext|contentHash|lastWriteTime|valid|descriptorModifiedTime|lastCompiledTime|needsRecompile
# Version: 1.0

4494406797d3c019|1|\Resources\Sources\Meshes\E002_worm_child_v001.fbx|.fbx||1768354627|1|1764336708|134088103081204250|0
669b106c33edc011|0|\Resources\Sources\Textures\Skybox_Engine_v1_006.png|.png||1768354628|1|0|0|0
dca0806c445e5757|2|\Resources\Sources\Material\Firewall_Logo.mat|.mat||1768354627|1|0|0|0
7a7b206d427b0001|7|\Resources\Sources\Scenes\TestPrefab2.json|.json||0|0|0|0|0
6c94406797d3c001|7|\Resources\Sources\Scenes\ExampleScene.json|.json||0|0|0|0|0
2494406797d3c031|3|\Resources\Sources\Audio\laserSmall_001.ogg|.ogg||1768354626|1|0|0|0
c494406797d3c011|4|\Resources\Sources\Shaders\object_picking.vert|.vert||1768354628|1|0|0|0
4c94406797d3c009|7|\Resources\Sources\Scenes\TestScene.json|.json||0|0|0|0|0
d494406797d3c00b|4|\Resources\Sources\Shaders\debug.frag|.frag||1768354628|1|0|0|0
c494406797d3c003|7|\Resources\Sources\Scenes\LoveLetterAnimation.json|.json||0|0|0|0|0
cc94406797d3c00d|4|\Resources\Sources\Shaders\debug.vert|.vert||1768354628|1|0|0|0
a443906a7d610013|0|\Resources\Sources\Textures\wood_color.jpg|.jpg||1768354628|1|0|0|0
8c94406797d3c005|7|\Resources\Sources\Scenes\lovelettertest.json|.json||0|0|0|0|0
c11fa06dd4504003|3|\Resources\Sources\Audio\RoomAmbience.wav|.wav||1768354627|1|0|0|0
1494406797d3c00f|4|\Resources\Sources\Shaders\object_picking.frag|.frag||1768354628|1|0|0|0
469b106c33edc00f|0|\Resources\Sources\Textures\Skybox_Engine_v1_005.png|.png||1768354628|1|0|0|0
2c94406797d3c007|7|\Resources\Sources\Scenes\Presentation.json|.json||0|0|0|0|0
d494406797d3c013|4|\Resources\Sources\Shaders\survival_kit_obj.frag|.frag||1768354628|1|0|0|0
cc94406797d3c015|4|\Resources\Sources\Shaders\survival_kit_obj.vert|.vert||1768354628|1|0|0|0
a494406797d3c017|1|\Resources\Sources\Meshes\E001_worm_host_v001.fbx|.fbx||1768354627|1|1764336715|134088103155012139|0
7494406797d3c027|0|\Resources\Sources\Textures\mouse_kenny.png|.png||1768354628|1|1762846196|134073197968984703|0
8443906a7d610009|0|\Resources\Sources\Textures\bottom.jpg|.jpg||1768354628|1|0|0|0
9c43906a7d610011|0|\Resources\Sources\Textures\top.jpg|.jpg||1768354628|1|0|0|0
2c94406797d3c01b|1|\Resources\Sources\Meshes\E003_trojan_v001.fbx|.fbx||1768354627|1|1764336721|134088103216305208|0
